output,index,hit_count,x,y
627,"[1162, 1358, 1404]",3,-11.0,-5.0
632,"[32, 71, 548, 1322, 1407, 1702]",6,-9.0,-12.0
637,[1549],1,10.0,1.0
643,[1749],1,-1.0,14.0
644,[1720],1,-10.0,-17.0
648,"[391, 401, 411, 432]",4,-9.0,-14.0
649,[1600],1,2.0,-24.0
652,"[528, 566, 567, 573, 629, 632]",6,-5.0,-24.0
653,"[22, 1041, 1142, 1547]",4,-4.0,-25.0
654,[281],1,-10.0,-12.0
658,[1302],1,-11.0,-9.0
667,[146],1,-9.0,6.0
670,[58],1,-6.0,12.0
674,[1532],1,-12.0,-8.0
675,"[1682, 1692, 1713, 1741, 1784]",5,-11.0,-7.0
676,"[1430, 1447, 1448, 1450, 1486]",5,-11.0,-6.0
685,"[648, 759, 761, 762, 892, 1179]",6,3.0,-25.0
689,[1530],1,-6.0,-24.0
690,[1169],1,-5.0,-25.0
698,[570],1,-7.0,-24.0
702,"[270, 343, 1641]",3,11.0,2.0
703,"[470, 833, 1417, 1466, 1718]",5,4.0,-25.0
704,"[408, 501, 1017, 1140, 1427, 1437, 1469, 1472, 1490, 1492, 1528, 1531, 1724, 1782, 1783]",15,3.0,-24.0
711,[113],1,-3.0,-28.0
712,"[1658, 1675]",2,-2.0,-29.0
715,"[93, 1298, 1546]",3,7.0,-17.0
716,"[1107, 1227]",2,6.0,-18.0
717,"[1567, 1607, 1652]",3,11.0,-4.0
718,"[356, 1095]",2,10.0,-3.0
720,"[1007, 1421, 1431, 1497]",4,-11.0,-2.0
721,[1361],1,-11.0,-4.0
724,"[1256, 1264]",2,7.0,-15.0
726,"[65, 1223, 1224]",3,-7.0,12.0
727,[274],1,-10.0,-18.0
730,[1292],1,-12.0,-7.0
731,"[1465, 1689, 1742, 1744, 1751, 1780]",6,2.0,-27.0
734,"[187, 1654]",2,4.0,-22.0
735,"[180, 207, 214, 244, 307, 723, 826]",7,3.0,-23.0
738,"[782, 792, 843]",3,-12.0,-2.0
739,"[810, 842]",2,-11.0,-1.0
740,[1299],1,-9.0,-23.0
742,"[12, 388, 436, 437, 440, 461, 1362]",7,-8.0,-24.0
747,"[1137, 1225, 1268, 1731]",4,9.0,7.0
749,[1679],1,5.0,-25.0
750,[181],1,4.0,-24.0
753,[1773],1,-12.0,0.0
755,"[989, 1183, 1521]",3,-11.0,6.0
759,"[1045, 1503]",2,-12.0,1.0
760,[1127],1,11.0,3.0
762,"[959, 1014, 1111]",3,-7.0,-25.0
765,"[324, 377, 1584, 1638]",4,11.0,-3.0
769,"[1559, 1661]",2,10.0,-1.0
770,[265],1,-10.0,-19.0
773,"[869, 1076]",2,6.0,-19.0
777,[445],1,0.0,-30.0
786,"[910, 1003]",2,-12.0,-13.0
791,"[373, 1021]",2,-13.0,-11.0
792,"[358, 973]",2,-13.0,-13.0
797,"[398, 443, 1102, 1565]",4,-10.0,-23.0
802,[1085],1,-6.0,13.0
811,"[534, 544]",2,-4.0,-28.0
814,"[1309, 1655]",2,-11.0,-23.0
817,[418],1,-12.0,-15.0
819,"[155, 766, 1274]",3,10.0,-8.0
825,"[658, 697]",2,2.0,-28.0
826,"[556, 569, 592, 612, 639, 643]",6,-3.0,-29.0
829,"[532, 581, 583, 598, 1449]",5,-12.0,-1.0
830,[237],1,10.0,-13.0
834,[123],1,5.0,-21.0
837,"[659, 705, 708, 729, 735, 1347, 1385]",7,2.0,-29.0
838,"[649, 669, 706]",3,1.0,-30.0
842,"[668, 1208]",2,4.0,-27.0
843,"[325, 348, 384]",3,-12.0,-19.0
844,"[275, 329, 361, 1633, 1665]",5,-11.0,-20.0
847,[1371],1,-9.0,-24.0
848,"[518, 538, 591, 1403]",4,-8.0,-25.0
858,"[121, 710, 1124, 1151]",4,11.0,-1.0
860,"[1104, 1337, 1338, 1341, 1344, 1364, 1400, 1593, 1597]",9,-10.0,-24.0
861,"[524, 554, 630, 638, 645]",5,-2.0,-30.0
864,"[618, 1461, 1517]",3,-14.0,-13.0
866,"[291, 1440]",2,-14.0,-9.0
874,[249],1,-4.0,-29.0
875,"[138, 183, 1069, 1695, 1743, 1781]",6,-3.0,-30.0
883,"[59, 63, 1548, 1624, 1630, 1639, 1644]",7,2.0,-30.0
884,[316],1,1.0,-31.0
886,[1550],1,10.0,-10.0
889,[1482],1,-13.0,2.0
891,"[977, 1051, 1081, 1084, 1143, 1402]",6,-8.0,-26.0
895,"[920, 976, 1058]",3,-14.0,-11.0
898,"[205, 696, 721]",3,-12.0,-24.0
899,"[1557, 1618]",2,-11.0,-25.0
901,"[261, 288, 302, 330]",4,-14.0,-14.0
903,[1580],1,-12.0,-18.0
907,"[224, 253, 1583, 1619, 1637]",5,-3.0,-31.0
908,[1632],1,0.0,-31.0
909,"[269, 301, 319, 339, 709, 749, 1504]",7,2.0,-31.0
912,"[106, 1569, 1771]",3,-2.0,15.0
914,[95],1,-1.0,16.0
915,"[700, 703]",2,-13.0,-23.0
917,"[393, 430, 472, 504]",4,-12.0,-20.0
921,"[351, 996]",2,-13.0,5.0
922,"[748, 1172, 1776]",3,-12.0,-6.0
928,"[679, 809, 1578]",3,11.0,-8.0
929,"[763, 1560]",2,10.0,-9.0
930,"[521, 1738, 1787]",3,-14.0,-15.0
935,"[956, 979, 1016]",3,-10.0,-25.0
937,"[298, 363, 657, 667, 856, 1668]",6,7.0,-16.0
942,"[909, 919, 1011, 1198]",4,9.0,10.0
947,"[8, 28, 1705, 1796]",4,-6.0,-29.0
949,"[2, 50, 51, 54, 57, 75, 77, 115, 502]",9,-13.0,-24.0
950,[1289],1,-12.0,-25.0
952,[1001],1,6.0,13.0
954,"[26, 82]",2,-3.0,16.0
959,[1770],1,1.0,-33.0
963,"[88, 156, 834]",3,-2.0,16.0
966,[633],1,-14.0,-16.0
974,"[223, 1063]",2,-10.0,11.0
978,[294],1,-4.0,-31.0
979,"[101, 150, 1598, 1768]",4,-15.0,-2.0
983,"[541, 562, 587, 625, 1420]",5,-15.0,-14.0
984,[1149],1,-8.0,-28.0
994,[349],1,8.0,-18.0
995,"[1672, 1769]",2,-14.0,-10.0
998,[1608],1,-7.0,14.0
1000,"[99, 1134]",2,8.0,-19.0
1004,[286],1,-15.0,-7.0
1006,"[315, 347, 354, 789, 835, 836]",6,8.0,-26.0
1011,[1065],1,-16.0,-2.0
1013,[875],1,6.0,-22.0
1015,[272],1,-14.0,2.0
1021,[1191],1,-11.0,7.0
1023,[323],1,-14.0,5.0
1024,"[712, 1094]",2,-13.0,6.0
1030,"[234, 1473]",2,-15.0,2.0
1032,"[403, 413, 429, 438, 447, 467, 494, 498]",8,-14.0,-18.0
1035,[152],1,-12.0,-27.0
1041,[462],1,-4.0,-32.0
1043,"[879, 1346]",2,-1.0,-33.0
1044,"[385, 1217, 1376, 1566, 1756]",5,0.0,-34.0
1046,"[231, 1118]",2,-14.0,-21.0
1047,[891],1,-15.0,-23.0
1048,[53],1,-14.0,-24.0
1050,[1542],1,-14.0,-20.0
1053,"[563, 586, 596, 601, 606]",5,10.0,-16.0
1056,[480],1,-15.0,-19.0
1058,[1752],1,7.0,-24.0
1063,[938],1,-15.0,-15.0
1066,"[1248, 1255, 1390]",3,2.0,-34.0
1067,[1666],1,-16.0,-23.0
1078,[1331],1,-13.0,-27.0
1085,"[375, 1572, 1612]",3,-15.0,-18.0
1087,"[116, 860]",2,-14.0,-25.0
1088,[1234],1,-13.0,-26.0
1090,"[357, 824, 1258, 1366]",4,-15.0,-6.0
1093,"[1049, 1077, 1078, 1287]",4,-17.0,0.0
1095,"[777, 1334, 1380, 1634]",4,8.0,-20.0
1096,"[742, 784, 872, 905, 1271, 1363]",6,8.0,-24.0
1098,[1554],1,-17.0,-15.0
1102,[1418],1,5.0,-31.0
1105,"[130, 935, 1039]",3,-17.0,-2.0
1107,"[1611, 1628, 1660]",3,-8.0,-29.0
1108,"[1057, 1067, 1103, 1123, 1154, 1156]",6,-7.0,-30.0
1109,"[652, 662, 1092, 1115]",4,-15.0,5.0
1110,[290],1,-14.0,6.0
1111,[360],1,-15.0,3.0
1113,"[1562, 1574]",2,-16.0,-19.0
1117,"[473, 496, 507, 670]",4,9.0,9.0
1118,"[37, 930, 937, 940, 951, 1010, 1018, 1524]",8,-15.0,-10.0
1121,"[292, 776, 796, 980, 1435]",5,-16.0,-6.0
1123,[1150],1,-5.0,-33.0
1125,"[74, 1670, 1690, 1729, 1765]",5,8.0,-25.0
1129,[946],1,11.0,5.0
1131,"[1432, 1467, 1523]",3,-15.0,-21.0
1132,"[1050, 1097, 1112, 1237, 1357]",5,7.0,-21.0
1141,"[1245, 1252]",2,-10.0,8.0
1142,"[350, 819]",2,-11.0,-29.0
1143,"[13, 345]",2,-1.0,-35.0
1144,[859],1,1.0,-35.0
1150,[672],1,-16.0,4.0
1153,[49],1,-18.0,-2.0
1154,[48],1,-17.0,-3.0
1155,"[276, 311]",2,-17.0,-7.0
1156,"[328, 725, 1335, 1716]",4,-17.0,-6.0
1158,"[839, 1219, 1558]",3,-3.0,-34.0
1159,"[91, 175, 1240, 1246, 1260]",5,-2.0,-35.0
1161,"[863, 1171, 1788]",3,6.0,14.0
1162,[304],1,-18.0,-1.0
1164,"[1012, 1022, 1033, 1043, 1070]",5,9.0,8.0
1165,"[1290, 1370]",2,1.0,-36.0
1166,"[939, 968, 1055, 1133]",4,-15.0,6.0
1168,[1622],1,-10.0,-29.0
1174,"[902, 1297, 1307, 1388, 1555, 1579]",6,-16.0,-4.0
1175,[1053],1,12.0,6.0
1176,[1767],1,4.0,13.0
1177,"[929, 966, 970, 998]",4,5.0,14.0
1178,[16],1,-11.0,11.0
1179,"[1293, 1303, 1551, 1601, 1623]",5,-10.0,12.0
1184,[799],1,3.0,-35.0
1185,"[821, 1460, 1506]",3,2.0,-36.0
1188,"[737, 744, 779]",3,8.0,-27.0
1190,[320],1,13.0,-1.0
1191,"[84, 917, 1499, 1717, 1721]",5,13.0,-12.0
1197,"[912, 922, 932, 963, 995, 1009, 1019, 1459]",8,-16.0,-25.0
1201,"[1369, 1382, 1610, 1636]",4,-11.0,9.0
1203,[1656],1,12.0,-8.0
1207,"[568, 1164, 1218, 1238, 1243, 1265, 1368]",7,-12.0,-29.0
1208,"[1200, 1294, 1587, 1595, 1604, 1635, 1657]",7,-11.0,-30.0
1209,[551],1,-17.0,-13.0
1210,[1613],1,8.0,-21.0
1211,"[1, 797, 1120]",3,7.0,-22.0
1212,"[475, 477, 484]",3,6.0,-30.0
1214,"[197, 680, 882]",3,-16.0,5.0
1215,"[457, 1054, 1700]",3,-18.0,-15.0
1216,"[69, 211, 523, 1552, 1570]",5,-10.0,-30.0
1220,[382],1,-19.0,-2.0
1222,"[894, 1348, 1775]",3,-13.0,-28.0
1226,[389],1,-3.0,-35.0
1227,"[838, 1087, 1170, 1220, 1300]",5,-2.0,-36.0
1229,"[1059, 1153]",2,-19.0,-1.0
1236,[1468],1,-18.0,-20.0
1238,"[23, 83, 98, 133, 153, 192, 213, 217, 226]",9,-3.0,-36.0
1240,"[131, 1457, 1462, 1471, 1485, 1495, 1508, 1514]",8,-18.0,-18.0
1242,[1251],1,-14.0,-28.0
1243,[66],1,-5.0,15.0
1244,[6],1,-4.0,16.0
1247,[14],1,12.0,7.0
1250,"[378, 399, 446, 448, 449, 489, 899]",7,8.0,-28.0
1252,"[125, 1146, 1155]",3,-6.0,-35.0
1253,"[157, 236, 1395, 1653, 1785]",5,-13.0,-29.0
1254,"[191, 216, 240, 364, 828, 870, 1373, 1627, 1748, 1753]",10,-12.0,-30.0
1259,"[300, 949, 1422, 1442, 1476, 1527, 1533]",7,-17.0,-23.0
1260,"[381, 655, 665, 675, 677, 685, 715, 751, 765, 771, 774]",11,-18.0,-16.0
1264,"[7, 222, 1135, 1174, 1314]",5,-16.0,-27.0
1268,"[1386, 1394, 1590, 1621]",4,10.0,-18.0
1269,[738],1,-19.0,-17.0
1271,"[531, 549, 590, 636]",4,-16.0,-10.0
1273,[359],1,2.0,-37.0
1274,"[908, 964, 985, 990, 992]",5,1.0,-38.0
1276,"[952, 958, 982, 991]",4,13.0,-13.0
1278,"[961, 1475, 1498]",3,5.0,-34.0
1289,"[47, 70, 85, 397, 433, 466, 471, 485, 794, 1158, 1168, 1204, 1367]",13,-18.0,-19.0
1290,"[20, 55, 72, 126, 179, 185, 202, 208, 209, 252, 487, 588, 1591, 1615]",14,-19.0,-6.0
1291,[406],1,-18.0,-5.0
1292,"[691, 1074]",2,-3.0,-37.0
1296,"[1131, 1732]",2,-2.0,17.0
1297,[1304],1,-16.0,-26.0
1298,[795],1,-18.0,-14.0
1299,"[1108, 1139]",2,-13.0,-30.0
1303,"[112, 559, 1649, 1761]",4,-16.0,-28.0
1304,"[137, 147, 182, 610, 793, 803, 837, 857, 884, 888]",10,-15.0,-29.0
1305,"[136, 262, 314, 344, 741, 1005, 1035, 1163, 1441, 1480]",10,-17.0,5.0
1306,[728],1,-16.0,6.0
1308,"[10, 256, 334, 571, 646, 666, 825, 831, 1193]",9,-19.0,-7.0
1310,"[299, 1586]",2,-14.0,-30.0
1313,[576],1,0.0,-38.0
1315,"[526, 552, 915, 925, 941, 974, 1002, 1025, 1415]",9,-20.0,-2.0
1317,"[865, 1438]",2,7.0,-28.0
1319,[1122],1,-14.0,8.0
1321,[628],1,-13.0,-31.0
1323,"[9, 199, 251, 254, 1186, 1795]",6,-7.0,-33.0
1324,"[266, 422, 1667, 1677, 1687, 1715, 1739, 1746]",8,-20.0,-1.0
1326,"[1060, 1068, 1230, 1276, 1285]",5,-8.0,-34.0
1327,"[405, 415, 417, 423, 459, 478, 491, 505, 514, 644]",10,-8.0,-35.0
1332,"[62, 89, 143, 189, 190, 193, 219]",7,-2.0,-37.0
1333,"[56, 80, 407, 428, 456, 476, 479, 493]",8,-19.0,-21.0
1336,[1501],1,-17.0,-24.0
1338,"[17, 61, 108, 783, 820, 983, 1381, 1684]",8,-17.0,-27.0
1339,[1458],1,-17.0,-26.0
1340,"[173, 263, 317, 577, 663, 862, 1269, 1275, 1779]",9,-17.0,-25.0
1344,"[279, 1478]",2,5.0,-35.0
1345,"[318, 1378]",2,4.0,-36.0
1346,[1719],1,-15.0,-30.0
1348,"[78, 465]",2,-18.0,1.0
1349,[362],1,-17.0,2.0
1350,"[45, 867]",2,6.0,-34.0
1351,"[431, 1428, 1477]",3,5.0,-33.0
1352,"[67, 164, 188, 196, 212, 282, 704, 921, 1734]",9,-17.0,6.0
1355,"[441, 564, 594, 957, 1099]",5,-19.0,-4.0
1356,"[545, 1024, 1048, 1066, 1096, 1119, 1152]",7,-8.0,-33.0
1358,"[512, 806, 812, 1157, 1697]",5,-19.0,-5.0
1360,[60],1,-1.0,-38.0
1361,[1513],1,0.0,-39.0
1363,"[355, 787, 1372, 1377, 1585, 1631, 1640, 1648]",8,10.0,-19.0
1364,"[1343, 1436, 1505]",3,-20.0,-20.0
1365,"[387, 1288, 1416, 1426, 1500, 1522]",6,-19.0,-19.0
1367,"[617, 656, 1187, 1206, 1212, 1229, 1235, 1236, 1283]",9,-17.0,-10.0
1368,"[42, 90]",2,-19.0,-23.0
1370,[338],1,-11.0,12.0
1371,"[734, 750, 752, 1109, 1755]",5,-10.0,13.0
1374,[1758],1,9.0,-28.0
1375,"[442, 527, 558, 572, 1008]",5,14.0,-12.0
1376,"[832, 906, 916, 926, 987]",5,13.0,-11.0
1377,"[482, 500]",2,-11.0,-33.0
1379,[1698],1,-6.0,-38.0
1380,"[305, 565, 786, 1082, 1105, 1106, 1620]",7,-21.0,-1.0
1385,"[0, 335, 676, 695, 877, 1029, 1128, 1167, 1177, 1359, 1365, 1592, 1745]",13,-19.0,-8.0
1388,"[1397, 1398, 1408]",3,4.0,14.0
1390,[469],1,7.0,-30.0
1391,"[409, 965, 1004, 1310]",4,6.0,-31.0
1393,[852],1,-12.0,-33.0
1394,"[203, 220, 1038]",3,-9.0,-33.0
1396,"[5, 149, 159, 233, 1786]",5,-4.0,-39.0
1397,"[27, 673, 689, 690, 732]",5,-20.0,-23.0
1398,[43],1,-19.0,-24.0
1401,"[309, 814, 1026, 1423, 1433, 1443]",6,-11.0,-34.0
1402,"[273, 624]",2,-16.0,-30.0
1405,"[424, 426, 515]",3,-13.0,-33.0
1407,"[1132, 1226, 1792]",3,-8.0,-37.0
1410,[118],1,-17.0,-28.0
1411,"[94, 337, 342, 368, 948, 954, 1013, 1046, 1073, 1121, 1728]",11,-16.0,-29.0
1413,"[1023, 1091, 1114, 1138]",4,13.0,2.0
1414,"[435, 694, 772]",3,-21.0,-7.0
1415,[1336],1,-20.0,-8.0
1416,"[661, 671, 1228]",3,14.0,-7.0
1417,"[25, 681]",2,13.0,-8.0
1418,"[425, 455, 1686, 1736, 1759, 1772]",6,-9.0,-37.0
1419,"[293, 589, 1188, 1194, 1196, 1249, 1316, 1326, 1406]",9,-8.0,-36.0
1420,"[285, 1262, 1306, 1318, 1324, 1360, 1446, 1488, 1534, 1740]",10,-8.0,-38.0
1421,"[303, 336, 341, 346, 702, 726, 846, 883, 1199, 1790]",10,8.0,-23.0
1423,[1052],1,1.0,-39.0
1424,"[1032, 1042, 1110, 1116, 1125, 1180, 1216]",7,0.0,-40.0
1425,"[683, 719]",2,-20.0,-18.0
1426,"[332, 370, 513, 768, 913, 978]",6,-12.0,-34.0
1429,"[711, 713, 911, 931, 960, 969, 984, 1481]",8,-18.0,6.0
1430,"[321, 322]",2,-17.0,7.0
1431,"[1036, 1056, 1072, 1079, 1088, 1113, 1145]",7,-17.0,-30.0
1432,[1339],1,-16.0,-31.0
1433,"[525, 555, 608, 621]",4,-9.0,-34.0
1434,[904],1,-6.0,-39.0
1435,"[1213, 1329, 1626]",3,9.0,-20.0
1436,"[928, 950, 1474]",3,8.0,-29.0
1438,[1166],1,-9.0,-35.0
1439,[747],1,-17.0,-4.0
1440,"[167, 287, 805, 845, 881, 1356, 1696]",7,-5.0,-39.0
1441,"[128, 511, 535, 553, 585, 641, 807, 815, 868, 895, 901, 1412]",12,-4.0,-40.0
1442,"[44, 81, 533, 560, 597, 602, 634, 653, 764, 1201, 1209, 1405, 1674, 1694]",14,-17.0,-29.0
1443,"[855, 981, 1425, 1445, 1451, 1463, 1464, 1494, 1516, 1541]",10,-21.0,-2.0
1444,"[184, 241, 243, 827, 853, 889]",6,14.0,-13.0
1445,[600],1,13.0,-14.0
1447,"[414, 816, 829, 890, 898, 903, 1529, 1537, 1538, 1544]",10,-13.0,-34.0
1448,"[107, 141, 151, 177, 200, 215, 218, 227, 312, 1308]",10,-21.0,-23.0
1449,"[11, 21, 172, 186, 210, 221, 235]",7,-20.0,-22.0
1451,"[174, 374, 1330, 1496, 1509]",5,-18.0,-25.0
1452,[1126],1,11.0,-19.0
1453,"[257, 326, 861, 866, 1247, 1250]",6,10.0,-20.0
1454,"[39, 1282, 1392, 1424, 1452, 1507, 1706]",7,-7.0,-39.0
1456,"[1086, 1089, 1090, 1130, 1160, 1332, 1349, 1350]",8,2.0,-38.0
1457,[1651],1,13.0,3.0
1459,"[3, 259]",2,7.0,-31.0
1461,"[36, 140, 160, 416, 458, 724, 1563, 1722, 1793]",9,-22.0,-7.0
1462,"[30, 166, 516, 536, 546, 595, 642, 1205, 1342, 1663]",10,-21.0,-6.0
1463,"[701, 718, 848, 854, 1323, 1413, 1545, 1642, 1703]",9,-21.0,-8.0
1466,"[1093, 1222]",2,-12.0,8.0
1469,"[295, 635, 924, 936, 942, 971, 993, 1020, 1027, 1379, 1676]",11,-8.0,-39.0
1470,"[785, 914, 934, 944, 975, 1006, 1296, 1444, 1484, 1520]",10,-7.0,-40.0
1471,[849],1,-9.0,-36.0
1474,"[92, 395, 421, 1434, 1454, 1540, 1543, 1704]",8,-5.0,-40.0
1475,"[79, 178, 229, 386, 396, 434, 682, 1317, 1470, 1487, 1493]",11,-22.0,-2.0
1476,[464],1,-21.0,-3.0
1477,"[24, 97, 100]",3,10.0,10.0
1478,"[4, 1777]",2,9.0,11.0
